REF_DATE,GEO,DGUID,VECTOR,COORDINATE,Population estimate
1957-07-01,Alberta,2016A000248,v15,10,1169000
1957-07-01,British Columbia,2016A000259,v3,11,1490000
1957-07-01,Yukon,2016A000260,v4,12,12000
1957-07-01,Northwest Territories including Nunavut,,v5,13,19000
1957-10-01,Canada,2016A000011124,v1,1,16810000
1957-10-01,Newfoundland and Labrador,2016A000210,v2,2,427000
1957-10-01,Prince Edward Island,2016A000211,v8,3,99000
1957-10-01,Nova Scotia,2016A000212,v9,4,702000
1957-10-01,New Brunswick,2016A000213,v10,5,565000
1957-10-01,Quebec,2016A000224,v11,6,4825000
1957-10-01,Ontario,2016A000235,v12,7,5722000
1957-10-01,Manitoba,2016A000246,v13,8,863000
1957-10-01,Saskatchewan,2016A000247,v14,9,884000
1957-10-01,Alberta,2016A000248,v15,10,1179000
1957-10-01,British Columbia,2016A000259,v3,11,1511000
1957-10-01,Yukon,2016A000260,v4,12,13000
1957-10-01,Northwest Territories including Nunavut,,v5,13,20000
1958-01-01,Canada,2016A000011124,v1,1,16907000
1958-01-01,Newfoundland and Labrador,2016A000210,v2,2,428000
1958-01-01,Prince Edward Island,2016A000211,v8,3,99000
1958-01-01,Nova Scotia,2016A000212,v9,4,705000
1958-01-01,New Brunswick,2016A000213,v10,5,567000
1958-01-01,Quebec,2016A000224,v11,6,4849000
1958-01-01,Ontario,2016A000235,v12,7,5759000
1958-01-01,Manitoba,2016A000246,v13,8,868000
1958-01-01,Saskatchewan,2016A000247,v14,9,884000
1958-01-01,Alberta,2016A000248,v15,10,1191000
1958-01-01,British Columbia,2016A000259,v3,11,1524000
1958-01-01,Yukon,2016A000260,v4,12,13000
1958-01-01,Northwest Territories including Nunavut,,v5,13,20000
1958-04-01,Canada,2016A000011124,v1,1,16997000
1958-04-01,Newfoundland and Labrador,2016A000210,v2,2,430000
1958-04-01,Prince Edward Island,2016A000211,v8,3,100000
1958-04-01,Nova Scotia,2016A000212,v9,4,707000
1958-04-01,New Brunswick,2016A000213,v10,5,569000
1958-04-01,Quebec,2016A000224,v11,6,4879000
1958-04-01,Ontario,2016A000235,v12,7,5789000
1958-04-01,Manitoba,2016A000246,v13,8,872000
1958-04-01,Saskatchewan,2016A000247,v14,9,888000
1958-04-01,Alberta,2016A000248,v15,10,1198000
1958-04-01,British Columbia,2016A000259,v3,11,1532000
1958-04-01,Yukon,2016A000260,v4,12,13000
1958-04-01,Northwest Territories including Nunavut,,v5,13,20000
1958-07-01,Canada,2016A000011124,v1,1,17120000
1958-07-01,Newfoundland and Labrador,2016A000210,v2,2,433000
1958-07-01,Prince Edward Island,2016A000211,v8,3,100000
